full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
 65224 (2002 EJ44),0.0687,0.0815,0.2707,62.74028875207539,31.1331955754054,0.076,?,?,?,0.739999999999998,1.56,0.530000000000001,0.210000000000001,0.029999999999998,?,?,?,4,GreaterOdysseus,-,-,,
 65225 (2002 EK44),0.0783,0.0399,0.1287,62.8995642807418,31.3166231545087,0.077,0.153,0.153,?,0.699999999999999,1.38,0.489999999999998,0.150000000000002,0.039999999999999,?,?,?,4,-,-,-,C,Fornasier2007
 65228 (2002 EH58),0.1396,0.033,0.3259,73.6058105402015,72.1712906058368,0.037,?,?,?,?,?,?,?,?,0.34128725,0.506642,?,4,GreaterDiomedes,Diomedes,-,,
 65232 (2002 EO87),0.093,0.0564,0.0952,64.9021822397747,40.8929105460185,0.161,0.321,0.321,?,?,?,?,?,?,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
 65257 (2002 FU36),0.0461,0.0352,0.3232,60.9674401064299,23.4882810086815,0.092,0.184,0.184,?,?,?,?,?,?,?,?,?,4,-,Polypoites,-,,
 65583 Theoklymenos (4646 T-2),0.0239,0.0499,0.1276,60.532359430430795,13.090817634709301,?,?,?,?,0.700000000000003,1.51,0.490000000000002,0.300000000000001,0.099999999999998,?,?,?,4,-,-,-,,
 79444 (1997 UM26),0.0601,0.0593,0.1986,61.734125452388,24.003923237048006,?,?,?,?,0.734999999999999,1.605,0.525,0.215,0.045,?,?,?,4,GreaterOdysseus,-,-,,
 80302 (1999 XC64),0.0666,0.0414,0.2745,61.8696166892225,29.8869966698132,?,?,?,?,0.779999999999998,1.68,0.57,0.240000000000002,0.109999999999999,?,?,?,4,-,-,-,,
 83975 (2002 AD184),0.0417,0.0891,0.1678,61.567593494601,18.8828946031723,?,?,?,?,0.84,1.38,0.629999999999999,0.140000000000001,0.07,?,?,?,4,GreaterAchilles,-,-,,
 83977 (2002 CE89),0.1223,0.0487,0.149,68.421913993734,54.6619093027246,?,?,?,?,0.75,1.38,0.530000000000001,0.190000000000001,0.069999999999997,?,?,?,4,GreaterDiomedes,Diomedes,-,,
 83978 (2002 CC202),0.0614,0.1005,0.0568,62.977701839386214,26.2675911147787,0.051,?,?,?,0.789999999999999,1.26,0.579999999999998,0.260000000000002,0.07,?,?,?,4,GreaterNestor,-,-,,
 83983 (2002 GE39),0.0158,0.0603,0.8174,56.4447940637276,13.322372405940799,?,?,?,?,0.799999999999999,1.395,0.58,0.265000000000001,0.135,?,?,?,4,-,Stentor,-,,
 85807 (1998 WR10),0.0408,0.0391,0.4585,59.945804842737395,22.527775844144397,0.062,?,?,?,?,?,?,?,?,0.41965325,0.5655705,?,4,-,1998WR10,-,,
 88225 (2001 BN27),0.0081,0.0366,0.5555,57.90035434144529,7.21934642223346,?,?,?,?,0.885,2.125,0.664999999999999,0.23,0.23,?,?,?,4,-,Stentor,-,,
 89829 (2002 BQ29),0.0305,0.0986,0.2291,61.0936929451219,15.4225695078636,0.101,?,?,?,0.76,1.49,0.545,0.180000000000002,0.094999999999999,?,?,?,4,GreaterAchilles,-,-,,
 89844 (2002 CP64),0.029,0.13699999999999998,0.3303,61.48190089470921,16.906669437654198,?,?,?,?,0.739999999999998,1.31,0.530000000000001,0.23,0.029999999999998,?,?,?,4,GreaterAchilles,1991EL,-,,
 89858 (2002 CK96),0.0024,0.0622,0.1711,60.40032971757,5.72506522901801,0.09,?,?,?,0.75,1.32,0.540000000000001,0.214999999999998,0.125,?,?,?,4,-,Halitherses,-,,
 89871 (2002 CU143),0.053,0.0364,0.179,61.521111597950004,23.8510906516133,?,?,?,?,0.856666666666667,1.57666666666667,0.636666666666668,0.276666666666666,0.140000000000001,?,?,?,4,GreaterTelamon,Theoklymenos,-,,
 89924 (2002 ED51),0.0686,0.0401,0.029,62.0502524283229,26.0827182259595,0.046,?,?,?,0.850000000000001,1.465,0.635,0.225,0.129999999999999,?,?,?,4,GreaterTelamon,Kalchas,-,,
 90337 (2003 FQ97),0.0291,0.1117,0.3492,60.7824469435052,12.4690173171048,0.051,0.103,0.103,?,?,?,?,?,?,?,?,?,4,-,Halaesus,-,,
100619 (1997 TK14),0.075,0.077,0.3074,63.223349335911294,35.479563150027296,?,?,?,?,?,?,?,?,?,0.4956535,0.4973985,0.226782,4,GreaterAjax,-,-,,
101466 (1998 WJ15),0.0775,0.0407,0.185,62.340085642053296,30.0886381589219,?,?,?,?,0.82,1.3,0.609999999999999,0.129999999999999,0.129999999999999,?,?,?,4,-,-,-,,
103508 (2000 BV1),0.1418,0.0368,0.0521,71.5453468209002,63.6296514520546,?,?,?,?,0.734999999999999,1.735,0.525,0.199999999999999,0.035,?,?,?,4,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
103989 (2000 DC94),0.1583,0.0445,0.0394,75.3743934612028,72.92558496417291,0.058,?,?,?,0.890000000000001,1.33,0.669999999999998,0.260000000000002,0.079999999999998,?,?,?,4,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
107004 (2000 YC112),0.0874,0.0735,0.2127,64.0032204126019,38.223145007251,?,?,?,?,0.792000000000001,1.358,0.580000000000001,0.208,0.09,?,?,?,4,GreaterDiomedes,-,-,,
107804 (2001 FV58),0.1371,0.034,0.1306,70.7287859380305,62.1415960243136,0.076,?,?,?,0.855,1.505,0.640000000000001,0.294999999999998,0.100000000000001,?,?,?,4,GreaterDiomedes,Lycomedes,-,,
111785 (2002 CQ186),0.1468,0.0342,0.0708,72.9421776454678,67.4472739925186,?,?,?,?,0.809999999999999,1.43,0.600000000000001,0.140000000000001,0.18,?,?,?,4,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
111805 (2002 CZ256),0.0999,0.0544,0.1276,65.2856861999219,43.0676829135644,?,?,?,?,0.715,1.535,0.505000000000001,0.1,0.114999999999998,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
111819 (2002 DD1),0.0243,0.0697,0.477,58.450680656101504,9.58943818683258,0.043,?,?,?,0.842499999999999,1.375,0.6275,0.2425,0.1775,?,?,?,4,-,Ulysses,-,,
111932 (2002 GG33),0.0739,0.0539,0.1617,63.327952492687,34.0259050595712,?,?,?,?,0.885,1.46,0.665000000000001,0.234999999999998,0.15,?,?,?,4,-,Eurybates,AniusSub,,
114710 (2003 GX7),0.0766,0.0309,0.4727,61.574617126489,35.3869477193823,?,?,?,?,0.829999999999998,1.4,0.620000000000001,0.280000000000001,0.219999999999999,?,?,?,4,-,Agamemnon,-,,
116954 (2004 HS1),0.0363,0.1155,0.156,62.1299911138264,17.2103144996911,0.05,?,?,?,0.77,1.35,0.550000000000001,0.209999999999997,0.190000000000001,?,?,?,4,GreaterAchilles,Achilles,-,,
128383 (2004 JW52),0.0578,0.0708,0.1766,62.55364201526781,27.978237199345397,?,?,?,?,1.55,1.58,1.3,0.190000000000001,-0.550000000000001,?,?,?,4,GreaterOdysseus,-,-,,
129602 (1997 WA12),0.0888,0.0673,0.3012,63.78477584851271,38.49452808138821,0.113,?,?,?,0.77,1.6,0.559999999999999,0.27,0.09,?,?,?,4,GreaterHektor,Hektor,-,,
130190 (2000 AG90),0.0846,0.0427,0.2784,63.4577392948385,37.726005144984704,0.114,?,?,?,0.779999999999998,1.55,0.57,0.289999999999999,0.32,0.298502,0.505622,?,4,-,-,-,,
135547 (2002 EN14),0.0599,0.0564,0.374,60.7210056293078,26.7319667894412,0.07,?,?,?,0.865,1.28,0.654999999999999,0.265000000000001,0.15,?,?,?,4,-,-,-,,
136557 Neleus (5214 T-2),0.0591,0.0183,0.1958,61.8545541668645,27.0604209594409,?,?,?,?,0.739999999999998,1.44,0.530000000000001,0.219999999999999,0.18,?,?,?,4,GreaterTelamon,-,-,,
