,n,da_p-range,e_p-range,sini_p-range,MeanLib-range,LibRange-range,albedo-range,W1Alb-range,W2Alb-range,g_mag-mean-range,(b - v)-range,(u - g)-range,(g - r)-range,(r - i)-range,(i - z)-range,(Y - J)-range,(J - Ks)-range,(H - Ks)-range,da_p-min,e_p-min,sini_p-min,MeanLib-min,LibRange-min,albedo-min,W1Alb-min,W2Alb-min,g_mag-mean-min,(b - v)-min,(u - g)-min,(g - r)-min,(r - i)-min,(i - z)-min,(Y - J)-min,(J - Ks)-min,(H - Ks)-min,da_p-max,e_p-max,sini_p-max,MeanLib-max,LibRange-max,albedo-max,W1Alb-max,W2Alb-max,g_mag-mean-max,(b - v)-max,(u - g)-max,(g - r)-max,(r - i)-max,(i - z)-max,(Y - J)-max,(J - Ks)-max,(H - Ks)-max
GreaterPatroclus,133,0.0-0.11,0.0-0.18,0.01-0.69,296.29-303.31,2.73-51.55,0.03-0.19,0.07-0.38,0.03-0.38,15.86-18.96,0.65-0.93,0.63-2.17,0.42-0.72,0.09-0.38,-0.37-0.45,0.1-0.59,0.16-1.09,-0.16-0.81,0.00415,0.00412,0.0125,296.286,2.735,0.0308,0.0657,0.0276,15.856,0.653,0.628,0.42,0.0907,-0.371,0.0998,0.162,-0.156,0.106,0.177,0.6920000000000001,303.315,51.553000000000004,0.18899999999999997,0.37799999999999995,0.375,18.962,0.93,2.17,0.72,0.37799999999999995,0.45,0.593,1.0859999999999999,0.81
Memnon,23,0.0-0.05,0.0-0.1,0.22-0.69,298.63-303.31,7.68-27.18,0.04-0.11,0.07-0.22,0.08-0.2,16.38-18.96,0.74-0.93,1.18-1.73,0.52-0.7,0.18-0.38,0.12-0.34,0.28-0.59,0.53-0.99,0.33-0.42,0.00415,0.00412,0.222,298.629,7.678999999999999,0.0423,0.0657,0.0776,16.375999999999998,0.738,1.18,0.52,0.179,0.122,0.27899999999999997,0.531,0.32799999999999996,0.0497,0.10300000000000001,0.6920000000000001,303.315,27.178,0.11,0.222,0.20199999999999999,18.962,0.93,1.73,0.7,0.37799999999999995,0.341,0.593,0.9940000000000001,0.424
MemnonSub,9,0.0-0.05,0.04-0.1,0.33-0.54,299.8-302.14,7.68-27.18,0.05-0.11,0.09-0.22,0.08-0.2,16.38-18.96,0.76-0.89,1.51-1.62,0.56-0.66,0.24-0.29,0.12-0.18,0.28-0.32,0.53-0.62,-,0.00415,0.0413,0.327,299.801,7.678999999999999,0.0535,0.0883,0.0776,16.375999999999998,0.759,1.51,0.56,0.245,0.122,0.27899999999999997,0.531,,0.0497,0.10300000000000001,0.536,302.143,27.178,0.11,0.222,0.20199999999999999,18.962,0.887,1.62,0.66,0.29,0.177,0.324,0.624,
AmphiosSub,9,0.0-0.05,0.0-0.08,0.38-0.69,299.8-303.31,7.68-27.18,0.04-0.09,0.07-0.18,0.08-0.18,18.7-18.96,0.82-0.91,1.4-1.73,0.62-0.68,0.2-0.31,0.12-0.18,-,-,-,0.00415,0.00412,0.379,299.801,7.678999999999999,0.0423,0.0657,0.0776,18.703,0.823,1.4,0.62,0.201,0.122,,,,0.0497,0.0783,0.6920000000000001,303.315,27.178,0.0873,0.177,0.177,18.962,0.909,1.73,0.68,0.312,0.177,,,
1971FV1,18,0.0-0.04,0.08-0.18,0.01-0.38,296.29-299.8,2.73-17.43,0.04-0.13,0.11-0.24,0.1-0.25,17.15-17.93,0.65-0.93,0.63-1.73,0.46-0.72,0.09-0.31,-0.21-0.45,0.1-0.46,0.44-1.09,-0.06-0.42,0.00415,0.0783,0.0125,296.286,2.735,0.0423,0.111,0.102,17.152,0.653,0.628,0.46,0.0907,-0.20600000000000002,0.0998,0.439,-0.057999999999999996,0.0383,0.177,0.379,299.801,17.428,0.132,0.244,0.251,17.928,0.93,1.73,0.72,0.312,0.45,0.45799999999999996,1.0859999999999999,0.424
LamposSub,6,0.02-0.04,0.14-0.18,0.01-0.33,296.29-298.63,7.68-17.43,0.04-0.1,0.11-0.18,0.1-0.18,-,0.8-0.89,0.63-1.62,0.58-0.68,0.18-0.31,-0.04-0.45,-,-,-,0.0156,0.14,0.0125,296.286,7.678999999999999,0.0423,0.111,0.102,,0.802,0.628,0.58,0.179,-0.042,,,,0.0383,0.177,0.327,298.629,17.428,0.0986,0.177,0.177,,0.887,1.62,0.68,0.312,0.45,,,
1971FV1Sub,8,0.0-0.02,0.09-0.14,0.12-0.38,297.46-299.8,2.73-12.55,0.05-0.13,0.11-0.24,0.1-0.25,17.15-17.41,0.65-0.93,1.18-1.73,0.46-0.72,0.09-0.31,-0.21-0.34,0.1-0.46,0.44-0.72,-0.06-0.42,0.00415,0.0906,0.11800000000000001,297.45799999999997,2.735,0.0535,0.111,0.102,17.152,0.653,1.18,0.46,0.0907,-0.20600000000000002,0.0998,0.439,-0.057999999999999996,0.0156,0.14,0.379,299.801,12.554,0.132,0.244,0.251,17.410999999999998,0.93,1.73,0.72,0.312,0.341,0.45799999999999996,0.716,0.424
1989TX11,5,0.03-0.05,0.04-0.08,0.17-0.27,298.63-299.8,12.55-22.3,0.04-0.08,0.09-0.29,0.08-0.28,-,0.78-0.82,1.29-1.62,0.58-0.6,0.22-0.31,0.12-0.18,-,-,-,0.027000000000000003,0.0413,0.17,298.629,12.554,0.0423,0.0883,0.0776,,0.7809999999999999,1.29,0.58,0.223,0.122,,,,0.0497,0.0783,0.27399999999999997,299.801,22.303,0.0761,0.289,0.276,,0.823,1.62,0.6,0.312,0.177,,,
Phereclos,17,0.03-0.05,0.03-0.1,0.01-0.22,297.46-299.8,7.68-22.3,0.03-0.14,0.07-0.24,0.05-0.25,16.64-17.15,0.72-0.93,1.07-1.95,0.5-0.7,0.11-0.29,-0.04-0.29,0.23-0.46,0.35-0.72,-0.06-0.14,0.027000000000000003,0.028999999999999998,0.0125,297.45799999999997,7.678999999999999,0.0308,0.0657,0.0528,16.635,0.7170000000000001,1.07,0.5,0.113,-0.042,0.23399999999999999,0.34600000000000003,-0.057999999999999996,0.0497,0.10300000000000001,0.222,299.801,22.303,0.14400000000000002,0.244,0.251,17.152,0.93,1.95,0.7,0.29,0.28600000000000003,0.45799999999999996,0.716,0.135
PandarusSub,5,0.03-0.05,0.07-0.1,0.01-0.17,297.46-299.8,12.55-22.3,0.03-0.14,0.07-0.24,0.05-0.25,16.64-17.15,0.76-0.82,1.4-1.95,0.54-0.62,0.2-0.27,-0.04-0.18,-,-,-,0.027000000000000003,0.0659,0.0125,297.45799999999997,12.554,0.0308,0.0657,0.0528,16.635,0.759,1.4,0.54,0.201,-0.042,,,,0.0497,0.10300000000000001,0.17,299.801,22.303,0.14400000000000002,0.244,0.251,17.152,0.823,1.95,0.62,0.267,0.177,,,
