,n,da_p-range,e_p-range,sini_p-range,MeanLib-range,LibRange-range,albedo-range,W1Alb-range,W2Alb-range,g_mag-mean-range,(b - v)-range,(u - g)-range,(g - r)-range,(r - i)-range,(i - z)-range,(Y - J)-range,(J - Ks)-range,(H - Ks)-range,da_p-min,e_p-min,sini_p-min,MeanLib-min,LibRange-min,albedo-min,W1Alb-min,W2Alb-min,g_mag-mean-min,(b - v)-min,(u - g)-min,(g - r)-min,(r - i)-min,(i - z)-min,(Y - J)-min,(J - Ks)-min,(H - Ks)-min,da_p-max,e_p-max,sini_p-max,MeanLib-max,LibRange-max,albedo-max,W1Alb-max,W2Alb-max,g_mag-mean-max,(b - v)-max,(u - g)-max,(g - r)-max,(r - i)-max,(i - z)-max,(Y - J)-max,(J - Ks)-max,(H - Ks)-max
2002cq134Sub,4,7.0-8.0,5.0-5.0,6.0-8.0,5.0-6.0,7.0-9.0,3.0-7.0,3.0-7.0,4.0-7.0,-,5.0-5.0,6.0-6.0,5.0-5.0,8.0-8.0,11.0-11.0,10.0-10.0,4.0-4.0,-,7.0,5.0,6.0,5.0,7.0,3.0,3.0,4.0,,5.0,6.0,5.0,8.0,11.0,10.0,4.0,,8.0,5.0,8.0,6.0,9.0,7.0,7.0,7.0,,5.0,6.0,5.0,8.0,11.0,10.0,4.0,
Eurybates,16,5.0-7.0,3.0-5.0,2.0-7.0,4.0-6.0,5.0-7.0,2.0-7.0,1.0-8.0,1.0-8.0,9.0-9.0,2.0-5.0,4.0-8.0,2.0-5.0,6.0-11.0,10.0-12.0,5.0-11.0,4.0-6.0,-,5.0,3.0,2.0,4.0,5.0,2.0,1.0,1.0,9.0,2.0,4.0,2.0,6.0,10.0,5.0,4.0,,7.0,5.0,7.0,6.0,7.0,7.0,8.0,8.0,9.0,5.0,8.0,5.0,11.0,12.0,11.0,6.0,
AniusSub,5,6.0-6.0,3.0-5.0,2.0-3.0,5.0-6.0,5.0-6.0,2.0-5.0,1.0-8.0,2.0-8.0,9.0-9.0,2.0-5.0,6.0-8.0,2.0-5.0,6.0-8.0,10.0-12.0,-,-,-,6.0,3.0,2.0,5.0,5.0,2.0,1.0,2.0,9.0,2.0,6.0,2.0,6.0,10.0,,,,6.0,5.0,3.0,6.0,6.0,5.0,8.0,8.0,9.0,5.0,8.0,5.0,8.0,12.0,,,
EurybatesSub,8,6.0-7.0,3.0-4.0,2.0-4.0,4.0-6.0,5.0-7.0,2.0-7.0,1.0-3.0,1.0-4.0,9.0-9.0,5.0-5.0,7.0-7.0,5.0-5.0,6.0-6.0,12.0-12.0,5.0-11.0,6.0-6.0,-,6.0,3.0,2.0,4.0,5.0,2.0,1.0,1.0,9.0,5.0,7.0,5.0,6.0,12.0,5.0,6.0,,7.0,4.0,4.0,6.0,7.0,7.0,3.0,4.0,9.0,5.0,7.0,5.0,6.0,12.0,11.0,6.0,
GreaterHektor,28,7.0-9.0,0.0-9.0,0.0-8.0,5.0-8.0,6.0-10.0,0.0-8.0,3.0-6.0,2.0-6.0,0.0-11.0,3.0-4.0,3.0-7.0,3.0-4.0,5.0-11.0,11.0-12.0,0.0-9.0,2.0-8.0,-,7.0,0.0,0.0,5.0,6.0,0.0,3.0,2.0,0.0,3.0,3.0,3.0,5.0,11.0,0.0,2.0,,9.0,9.0,8.0,8.0,10.0,8.0,6.0,6.0,11.0,4.0,7.0,4.0,11.0,12.0,9.0,8.0,
Thersites,11,7.0-9.0,2.0-9.0,0.0-6.0,6.0-8.0,7.0-10.0,1.0-5.0,3.0-4.0,3.0-5.0,5.0-9.0,4.0-4.0,5.0-6.0,4.0-4.0,8.0-11.0,11.0-12.0,6.0-9.0,2.0-7.0,-,7.0,2.0,0.0,6.0,7.0,1.0,3.0,3.0,5.0,4.0,5.0,4.0,8.0,11.0,6.0,2.0,,9.0,9.0,6.0,8.0,10.0,5.0,4.0,5.0,9.0,4.0,6.0,4.0,11.0,12.0,9.0,7.0,
Hektor,17,7.0-9.0,0.0-5.0,4.0-8.0,5.0-7.0,6.0-9.0,0.0-8.0,3.0-6.0,2.0-6.0,0.0-11.0,3.0-4.0,3.0-7.0,3.0-4.0,5.0-11.0,11.0-12.0,0.0-9.0,3.0-8.0,-,7.0,0.0,4.0,5.0,6.0,0.0,3.0,2.0,0.0,3.0,3.0,3.0,5.0,11.0,0.0,3.0,,9.0,5.0,8.0,7.0,9.0,8.0,6.0,6.0,11.0,4.0,7.0,4.0,11.0,12.0,9.0,8.0,
GreaterDiomedes,75,5.0-12.0,0.0-8.0,0.0-8.0,4.0-14.0,5.0-13.0,1.0-12.0,1.0-12.0,1.0-12.0,3.0-14.0,1.0-7.0,3.0-9.0,1.0-7.0,0.0-12.0,9.0-12.0,6.0-7.0,3.0-4.0,-,5.0,0.0,0.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,9.0,6.0,3.0,,12.0,8.0,8.0,14.0,13.0,12.0,12.0,12.0,14.0,7.0,9.0,7.0,12.0,12.0,7.0,4.0,
Philoctetes,26,5.0-8.0,1.0-8.0,0.0-3.0,5.0-7.0,5.0-8.0,3.0-11.0,3.0-11.0,4.0-11.0,13.0-13.0,1.0-5.0,3.0-7.0,1.0-5.0,0.0-8.0,9.0-12.0,-,-,-,5.0,1.0,0.0,5.0,5.0,3.0,3.0,4.0,13.0,1.0,3.0,1.0,0.0,9.0,,,,8.0,8.0,3.0,7.0,8.0,11.0,11.0,11.0,13.0,5.0,7.0,5.0,8.0,12.0,,,
AndraimonSub,10,5.0-8.0,6.0-8.0,0.0-3.0,5.0-7.0,5.0-8.0,3.0-9.0,4.0-9.0,5.0-9.0,-,2.0-5.0,3.0-7.0,3.0-5.0,2.0-8.0,10.0-12.0,-,-,-,5.0,6.0,0.0,5.0,5.0,3.0,4.0,5.0,,2.0,3.0,3.0,2.0,10.0,,,,8.0,8.0,3.0,7.0,8.0,9.0,9.0,9.0,,5.0,7.0,5.0,8.0,12.0,,,
Diomedes,12,9.0-12.0,1.0-5.0,2.0-8.0,8.0-12.0,9.0-13.0,1.0-9.0,1.0-8.0,1.0-9.0,3.0-14.0,2.0-7.0,5.0-9.0,3.0-7.0,5.0-9.0,9.0-12.0,7.0-7.0,3.0-4.0,-,9.0,1.0,2.0,8.0,9.0,1.0,1.0,1.0,3.0,2.0,5.0,3.0,5.0,9.0,7.0,3.0,,12.0,5.0,8.0,12.0,13.0,9.0,8.0,9.0,14.0,7.0,9.0,7.0,9.0,12.0,7.0,4.0,
Lycomedes,20,8.0-12.0,0.0-6.0,0.0-4.0,7.0-14.0,9.0-13.0,2.0-12.0,4.0-12.0,4.0-12.0,11.0-11.0,3.0-5.0,4.0-9.0,3.0-5.0,0.0-12.0,10.0-12.0,-,-,-,8.0,0.0,0.0,7.0,9.0,2.0,4.0,4.0,11.0,3.0,4.0,3.0,0.0,10.0,,,,12.0,6.0,4.0,14.0,13.0,12.0,12.0,12.0,11.0,5.0,9.0,5.0,12.0,12.0,,,
AmphiaraosSub,8,11.0-12.0,2.0-3.0,0.0-1.0,11.0-14.0,11.0-13.0,2.0-9.0,4.0-9.0,4.0-9.0,-,3.0-5.0,4.0-9.0,3.0-5.0,2.0-10.0,10.0-12.0,-,-,-,11.0,2.0,0.0,11.0,11.0,2.0,4.0,4.0,,3.0,4.0,3.0,2.0,10.0,,,,12.0,3.0,1.0,14.0,13.0,9.0,9.0,9.0,,5.0,9.0,5.0,10.0,12.0,,,
GreaterTelamon,35,1.0-6.0,0.0-5.0,0.0-5.0,2.0-5.0,1.0-5.0,1.0-14.0,2.0-14.0,1.0-14.0,4.0-14.0,2.0-5.0,5.0-8.0,2.0-5.0,4.0-14.0,9.0-13.0,5.0-6.0,2.0-3.0,-,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,5.0,2.0,4.0,9.0,5.0,2.0,,6.0,5.0,5.0,5.0,5.0,14.0,14.0,14.0,14.0,5.0,8.0,5.0,14.0,13.0,6.0,3.0,
Telamon,5,4.0-5.0,2.0-5.0,1.0-5.0,4.0-4.0,4.0-5.0,2.0-5.0,2.0-4.0,2.0-4.0,7.0-11.0,3.0-4.0,5.0-5.0,3.0-4.0,4.0-8.0,12.0-13.0,-,-,-,4.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,7.0,3.0,5.0,3.0,4.0,12.0,,,,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,11.0,4.0,5.0,4.0,8.0,13.0,,,
Kalchas,6,4.0-6.0,1.0-3.0,0.0-1.0,4.0-5.0,4.0-5.0,1.0-6.0,3.0-3.0,3.0-4.0,10.0-11.0,3.0-4.0,6.0-8.0,3.0-5.0,4.0-7.0,11.0-11.0,-,-,-,4.0,1.0,0.0,4.0,4.0,1.0,3.0,3.0,10.0,3.0,6.0,3.0,4.0,11.0,,,,6.0,3.0,1.0,5.0,5.0,6.0,3.0,4.0,11.0,4.0,8.0,5.0,7.0,11.0,,,
Theoklymenos,19,1.0-5.0,1.0-4.0,0.0-4.0,2.0-4.0,1.0-5.0,2.0-14.0,3.0-14.0,1.0-14.0,4.0-11.0,2.0-5.0,5.0-7.0,2.0-5.0,4.0-12.0,9.0-11.0,5.0-6.0,2.0-3.0,-,1.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,5.0,2.0,4.0,9.0,5.0,2.0,,5.0,4.0,4.0,4.0,5.0,14.0,14.0,14.0,11.0,5.0,7.0,5.0,12.0,11.0,6.0,3.0,
MakhaonSub,5,3.0-4.0,4.0-4.0,3.0-4.0,3.0-4.0,3.0-4.0,2.0-3.0,3.0-3.0,2.0-4.0,4.0-9.0,2.0-2.0,6.0-6.0,2.0-2.0,9.0-9.0,11.0-11.0,5.0-5.0,3.0-3.0,-,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,6.0,2.0,9.0,11.0,5.0,3.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,9.0,2.0,6.0,2.0,9.0,11.0,5.0,3.0,
GreaterOdysseus,36,1.0-6.0,0.0-7.0,0.0-4.0,2.0-5.0,1.0-5.0,2.0-12.0,2.0-12.0,2.0-12.0,3.0-12.0,2.0-14.0,4.0-8.0,2.0-14.0,3.0-9.0,0.0-13.0,5.0-14.0,0.0-8.0,-,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,0.0,5.0,0.0,,6.0,7.0,4.0,5.0,5.0,12.0,12.0,12.0,12.0,14.0,8.0,14.0,9.0,13.0,14.0,8.0,
Epistrophos,5,3.0-4.0,2.0-6.0,4.0-4.0,3.0-3.0,2.0-3.0,2.0-2.0,-,-,-,3.0-4.0,5.0-5.0,3.0-5.0,8.0-9.0,9.0-12.0,5.0-14.0,6.0-8.0,-,3.0,2.0,4.0,3.0,2.0,2.0,,,,3.0,5.0,3.0,8.0,9.0,5.0,6.0,,4.0,6.0,4.0,3.0,3.0,2.0,,,,4.0,5.0,5.0,9.0,12.0,14.0,8.0,
Odysseus,20,1.0-4.0,0.0-5.0,0.0-3.0,2.0-3.0,1.0-3.0,2.0-12.0,2.0-12.0,2.0-12.0,3.0-12.0,2.0-4.0,4.0-7.0,2.0-4.0,3.0-9.0,10.0-13.0,10.0-10.0,1.0-1.0,-,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,10.0,10.0,1.0,,4.0,5.0,3.0,3.0,3.0,12.0,12.0,12.0,12.0,4.0,7.0,4.0,9.0,13.0,10.0,1.0,
GreaterPatroclus,133,0.0-8.0,0.0-13.0,0.0-12.0,9.0-14.0,0.0-9.0,0.0-13.0,0.0-13.0,0.0-13.0,0.0-11.0,2.0-14.0,0.0-13.0,0.0-14.0,1.0-13.0,0.0-14.0,1.0-11.0,1.0-10.0,0.0-9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,13.0,12.0,14.0,9.0,13.0,13.0,13.0,11.0,14.0,13.0,14.0,13.0,14.0,11.0,10.0,9.0
Memnon,23,0.0-3.0,0.0-7.0,4.0-12.0,11.0-14.0,1.0-4.0,1.0-6.0,0.0-6.0,2.0-6.0,2.0-11.0,6.0-14.0,5.0-9.0,5.0-13.0,5.0-13.0,9.0-12.0,5.0-11.0,5.0-9.0,5.0-5.0,0.0,0.0,4.0,11.0,1.0,1.0,0.0,2.0,2.0,6.0,5.0,5.0,5.0,9.0,5.0,5.0,5.0,3.0,7.0,12.0,14.0,4.0,6.0,6.0,6.0,11.0,14.0,9.0,13.0,13.0,12.0,11.0,9.0,5.0
MemnonSub,9,0.0-3.0,3.0-7.0,6.0-9.0,12.0-13.0,1.0-4.0,2.0-6.0,1.0-6.0,2.0-6.0,2.0-11.0,7.0-12.0,8.0-8.0,7.0-11.0,8.0-9.0,9.0-9.0,5.0-5.0,5.0-5.0,-,0.0,3.0,6.0,12.0,1.0,2.0,1.0,2.0,2.0,7.0,8.0,7.0,8.0,9.0,5.0,5.0,,3.0,7.0,9.0,13.0,4.0,6.0,6.0,6.0,11.0,12.0,8.0,11.0,9.0,9.0,5.0,5.0,
AmphiosSub,9,0.0-3.0,0.0-5.0,7.0-12.0,12.0-14.0,1.0-4.0,1.0-4.0,0.0-4.0,2.0-5.0,11.0-11.0,10.0-13.0,7.0-9.0,10.0-12.0,6.0-10.0,9.0-9.0,-,-,-,0.0,0.0,7.0,12.0,1.0,1.0,0.0,2.0,11.0,10.0,7.0,10.0,6.0,9.0,,,,3.0,5.0,12.0,14.0,4.0,4.0,4.0,5.0,11.0,13.0,9.0,12.0,10.0,9.0,,,
1971FV1,18,0.0-2.0,6.0-13.0,0.0-6.0,9.0-11.0,0.0-2.0,1.0-8.0,2.0-7.0,3.0-8.0,5.0-7.0,2.0-14.0,0.0-9.0,2.0-14.0,1.0-10.0,3.0-14.0,1.0-8.0,4.0-10.0,1.0-5.0,0.0,6.0,0.0,9.0,0.0,1.0,2.0,3.0,5.0,2.0,0.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,13.0,6.0,11.0,2.0,8.0,7.0,8.0,7.0,14.0,9.0,14.0,10.0,14.0,8.0,10.0,5.0
LamposSub,6,1.0-2.0,11.0-13.0,0.0-5.0,9.0-10.0,1.0-2.0,1.0-5.0,2.0-4.0,3.0-5.0,-,9.0-12.0,0.0-8.0,8.0-12.0,5.0-10.0,6.0-14.0,-,-,-,1.0,11.0,0.0,9.0,1.0,1.0,2.0,3.0,,9.0,0.0,8.0,5.0,6.0,,,,2.0,13.0,5.0,10.0,2.0,5.0,4.0,5.0,,12.0,8.0,12.0,10.0,14.0,,,
1971FV1Sub,8,0.0-0.0,7.0-10.0,2.0-6.0,10.0-11.0,0.0-1.0,2.0-8.0,2.0-7.0,3.0-8.0,5.0-5.0,2.0-14.0,5.0-9.0,2.0-14.0,1.0-10.0,3.0-12.0,1.0-8.0,4.0-6.0,1.0-5.0,0.0,7.0,2.0,10.0,0.0,2.0,2.0,3.0,5.0,2.0,5.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,10.0,6.0,11.0,1.0,8.0,7.0,8.0,5.0,14.0,9.0,14.0,10.0,12.0,8.0,6.0,5.0
1989TX11,5,2.0-3.0,3.0-5.0,3.0-4.0,11.0-11.0,2.0-3.0,1.0-3.0,1.0-9.0,2.0-9.0,-,8.0-9.0,6.0-8.0,8.0-8.0,7.0-10.0,9.0-9.0,-,-,-,2.0,3.0,3.0,11.0,2.0,1.0,1.0,2.0,,8.0,6.0,8.0,7.0,9.0,,,,3.0,5.0,4.0,11.0,3.0,3.0,9.0,9.0,,9.0,8.0,8.0,10.0,9.0,,,
Phereclos,17,2.0-3.0,2.0-7.0,0.0-3.0,10.0-11.0,1.0-3.0,0.0-9.0,0.0-7.0,1.0-8.0,3.0-4.0,5.0-14.0,4.0-11.0,4.0-13.0,2.0-9.0,6.0-11.0,4.0-8.0,3.0-6.0,1.0-2.0,2.0,2.0,0.0,10.0,1.0,0.0,0.0,1.0,3.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,1.0,3.0,7.0,3.0,11.0,3.0,9.0,7.0,8.0,4.0,14.0,11.0,13.0,9.0,11.0,8.0,6.0,2.0
PandarusSub,5,2.0-3.0,5.0-7.0,0.0-2.0,10.0-11.0,2.0-3.0,0.0-9.0,0.0-7.0,1.0-8.0,3.0-4.0,7.0-9.0,7.0-11.0,6.0-9.0,6.0-8.0,6.0-9.0,-,-,-,2.0,5.0,0.0,10.0,2.0,0.0,0.0,1.0,3.0,7.0,7.0,6.0,6.0,6.0,,,,3.0,7.0,2.0,11.0,3.0,9.0,7.0,8.0,4.0,9.0,11.0,9.0,8.0,9.0,,,
PhereclosSub,12,2.0-3.0,2.0-6.0,0.0-3.0,11.0-11.0,1.0-3.0,1.0-8.0,3.0-5.0,2.0-6.0,3.0-3.0,5.0-14.0,4.0-8.0,4.0-13.0,2.0-9.0,6.0-11.0,4.0-8.0,3.0-6.0,1.0-2.0,2.0,2.0,0.0,11.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,1.0,3.0,6.0,3.0,11.0,3.0,8.0,5.0,6.0,3.0,14.0,8.0,13.0,9.0,11.0,8.0,6.0,2.0
Troilus,13,2.0-5.0,0.0-5.0,6.0-10.0,11.0-13.0,3.0-5.0,0.0-6.0,0.0-6.0,0.0-7.0,3.0-10.0,5.0-13.0,6.0-13.0,4.0-13.0,2.0-11.0,8.0-10.0,2.0-2.0,7.0-7.0,0.0-0.0,2.0,0.0,6.0,11.0,3.0,0.0,0.0,0.0,3.0,5.0,6.0,4.0,2.0,8.0,2.0,7.0,0.0,5.0,5.0,10.0,13.0,5.0,6.0,6.0,7.0,10.0,13.0,13.0,13.0,11.0,10.0,2.0,7.0,0.0
TroilusSub,5,2.0-3.0,0.0-3.0,8.0-10.0,12.0-13.0,3.0-3.0,0.0-4.0,0.0-4.0,0.0-5.0,3.0-3.0,5.0-7.0,6.0-13.0,4.0-6.0,2.0-7.0,8.0-9.0,2.0-2.0,7.0-7.0,0.0-0.0,2.0,0.0,8.0,12.0,3.0,0.0,0.0,0.0,3.0,5.0,6.0,4.0,2.0,8.0,2.0,7.0,0.0,3.0,3.0,10.0,13.0,3.0,4.0,4.0,5.0,3.0,7.0,13.0,6.0,7.0,9.0,2.0,7.0,0.0
1988RY11Sub,5,3.0-4.0,3.0-5.0,6.0-9.0,11.0-12.0,3.0-4.0,2.0-6.0,5.0-6.0,6.0-7.0,8.0-8.0,13.0-13.0,6.0-6.0,13.0-13.0,6.0-6.0,8.0-8.0,-,-,-,3.0,3.0,6.0,11.0,3.0,2.0,5.0,6.0,8.0,13.0,6.0,13.0,6.0,8.0,,,,4.0,5.0,9.0,12.0,4.0,6.0,6.0,7.0,8.0,13.0,6.0,13.0,6.0,8.0,,,
Cebriones,17,4.0-8.0,0.0-6.0,7.0-10.0,9.0-11.0,5.0-9.0,1.0-8.0,0.0-7.0,2.0-8.0,1.0-11.0,7.0-11.0,5.0-6.0,6.0-10.0,7.0-10.0,10.0-10.0,4.0-4.0,3.0-5.0,4.0-4.0,4.0,0.0,7.0,9.0,5.0,1.0,0.0,2.0,1.0,7.0,5.0,6.0,7.0,10.0,4.0,3.0,4.0,8.0,6.0,10.0,11.0,9.0,8.0,7.0,8.0,11.0,11.0,6.0,10.0,10.0,10.0,4.0,5.0,4.0
BitiasSub,7,7.0-8.0,0.0-6.0,8.0-10.0,9.0-10.0,6.0-9.0,2.0-8.0,2.0-3.0,3.0-4.0,8.0-11.0,11.0-11.0,6.0-6.0,10.0-10.0,7.0-7.0,10.0-10.0,4.0-4.0,3.0-3.0,-,7.0,0.0,8.0,9.0,6.0,2.0,2.0,3.0,8.0,11.0,6.0,10.0,7.0,10.0,4.0,3.0,,8.0,6.0,10.0,10.0,9.0,8.0,3.0,4.0,11.0,11.0,6.0,10.0,7.0,10.0,4.0,3.0,
Asteropaios,17,3.0-5.0,1.0-6.0,0.0-4.0,10.0-11.0,3.0-5.0,1.0-8.0,2.0-8.0,3.0-9.0,6.0-8.0,5.0-12.0,6.0-11.0,4.0-11.0,4.0-9.0,6.0-11.0,7.0-14.0,6.0-12.0,13.0-13.0,3.0,1.0,0.0,10.0,3.0,1.0,2.0,3.0,6.0,5.0,6.0,4.0,4.0,6.0,7.0,6.0,13.0,5.0,6.0,4.0,11.0,5.0,8.0,8.0,9.0,8.0,12.0,11.0,11.0,9.0,11.0,14.0,12.0,13.0
LykaonSub,5,4.0-5.0,3.0-4.0,2.0-3.0,10.0-11.0,3.0-4.0,2.0-4.0,2.0-2.0,3.0-3.0,8.0-8.0,8.0-11.0,8.0-9.0,7.0-10.0,8.0-9.0,8.0-10.0,14.0-14.0,12.0-12.0,13.0-13.0,4.0,3.0,2.0,10.0,3.0,2.0,2.0,3.0,8.0,8.0,8.0,7.0,8.0,8.0,14.0,12.0,13.0,5.0,4.0,3.0,11.0,4.0,4.0,2.0,3.0,8.0,11.0,9.0,10.0,9.0,10.0,14.0,12.0,13.0
1988RS10Sub,7,4.0-5.0,1.0-4.0,0.0-2.0,10.0-10.0,4.0-5.0,1.0-2.0,2.0-2.0,3.0-3.0,-,5.0-12.0,6.0-11.0,4.0-11.0,5.0-8.0,7.0-11.0,7.0-7.0,8.0-8.0,-,4.0,1.0,0.0,10.0,4.0,1.0,2.0,3.0,,5.0,6.0,4.0,5.0,7.0,7.0,8.0,,5.0,4.0,2.0,10.0,5.0,2.0,2.0,3.0,,12.0,11.0,11.0,8.0,11.0,7.0,8.0,
Dolon,20,5.0-8.0,0.0-5.0,0.0-8.0,8.0-9.0,5.0-9.0,0.0-9.0,0.0-9.0,2.0-10.0,7.0-10.0,4.0-10.0,8.0-8.0,3.0-10.0,2.0-10.0,7.0-9.0,3.0-8.0,5.0-8.0,8.0-8.0,5.0,0.0,0.0,8.0,5.0,0.0,0.0,2.0,7.0,4.0,8.0,3.0,2.0,7.0,3.0,5.0,8.0,8.0,5.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,8.0,8.0,8.0
ErichthoniosSub,5,6.0-7.0,2.0-4.0,0.0-2.0,8.0-9.0,5.0-6.0,4.0-7.0,3.0-7.0,5.0-8.0,-,4.0-9.0,8.0-8.0,3.0-9.0,5.0-10.0,8.0-9.0,8.0-8.0,7.0-7.0,-,6.0,2.0,0.0,8.0,5.0,4.0,3.0,5.0,,4.0,8.0,3.0,5.0,8.0,8.0,7.0,,7.0,4.0,2.0,9.0,6.0,7.0,7.0,8.0,,9.0,8.0,9.0,10.0,9.0,8.0,7.0,
DolonSub,11,5.0-8.0,0.0-3.0,3.0-8.0,8.0-9.0,6.0-9.0,0.0-9.0,2.0-9.0,4.0-10.0,7.0-7.0,5.0-6.0,8.0-8.0,4.0-5.0,5.0-6.0,8.0-9.0,3.0-8.0,6.0-8.0,8.0-8.0,5.0,0.0,3.0,8.0,6.0,0.0,2.0,4.0,7.0,5.0,8.0,4.0,5.0,8.0,3.0,6.0,8.0,8.0,3.0,8.0,9.0,9.0,9.0,9.0,10.0,7.0,6.0,8.0,5.0,6.0,9.0,8.0,8.0,8.0
Apisaon,9,5.0-8.0,4.0-9.0,4.0-6.0,7.0-9.0,5.0-9.0,4.0-5.0,3.0-5.0,5.0-6.0,9.0-10.0,4.0-8.0,3.0-8.0,3.0-8.0,5.0-9.0,8.0-9.0,-,-,-,5.0,4.0,4.0,7.0,5.0,4.0,3.0,5.0,9.0,4.0,3.0,3.0,5.0,8.0,,,,8.0,9.0,6.0,9.0,9.0,5.0,5.0,6.0,10.0,8.0,8.0,8.0,9.0,9.0,,,
Khryses,8,3.0-3.0,7.0-13.0,0.0-3.0,8.0-10.0,3.0-4.0,1.0-9.0,1.0-4.0,2.0-5.0,9.0-10.0,5.0-8.0,6.0-9.0,4.0-7.0,5.0-8.0,8.0-10.0,6.0-6.0,7.0-7.0,4.0-4.0,3.0,7.0,0.0,8.0,3.0,1.0,1.0,2.0,9.0,5.0,6.0,4.0,5.0,8.0,6.0,7.0,4.0,3.0,13.0,3.0,10.0,4.0,9.0,4.0,5.0,10.0,8.0,9.0,7.0,8.0,10.0,6.0,7.0,4.0
