full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,da_p-intv,da_p-left,da_p-right,e_p-intv,e_p-left,e_p-right,sini_p-intv,sini_p-left,sini_p-right,MeanLib-intv,MeanLib-left,MeanLib-right,LibRange-intv,LibRange-left,LibRange-right,albedo-intv,albedo-left,albedo-right,W1Alb-intv,W1Alb-left,W1Alb-right,W2Alb-intv,W2Alb-left,W2Alb-right,g_mag-mean-intv,g_mag-mean-left,g_mag-mean-right,(b - v)-intv,(b - v)-left,(b - v)-right,(u - g)-intv,(u - g)-left,(u - g)-right,(g - r)-intv,(g - r)-left,(g - r)-right,(r - i)-intv,(r - i)-left,(r - i)-right,(i - z)-intv,(i - z)-left,(i - z)-right,(Y - J)-intv,(Y - J)-left,(Y - J)-right,(J - Ks)-intv,(J - Ks)-left,(J - Ks)-right,(H - Ks)-intv,(H - Ks)-left,(H - Ks)-right,GreaterClan,Clan,SubClan,tax_c,Tax_ref
101466 (1998 WJ15),6.0,3.0,3.0,4.0,5.0,?,?,?,?,4.0,4.0,4.0,1.0,11.0,?,?,?,4.0,"(0.0737, 0.0858]",0.0737,0.0858,"(0.0364, 0.0473]",0.0364,0.0473,"(0.172, 0.226]",0.172,0.226,"(61.766, 63.096]",61.76600000000001,63.096,"(29.641, 34.746]",29.641,34.746,,,,,,,,,,,,,"(0.787, 0.857]",0.787,0.857,"(1.252, 1.347]",1.252,1.347,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.116, 0.132]",0.116,0.132,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,-,-,-,,
103508 (2000 BV1),11.0,3.0,0.0,11.0,11.0,?,?,?,?,3.0,9.0,3.0,6.0,10.0,?,?,?,4.0,"(0.135, 0.147]",0.135,0.147,"(0.0364, 0.0473]",0.0364,0.0473,"(0.0102, 0.0648]",0.0102,0.0648,"(71.078, 72.408]",71.078,72.408,"(60.271, 65.376]",60.271,65.376,,,,,,,,,,,,,"(0.718, 0.787]",0.718,0.787,"(1.724, 1.818]",1.724,1.818,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.196, 0.212]",0.196,0.212,"(0.03, 0.088]",0.03,0.08800000000000001,,,,,,,,,,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
103989 (2000 DC94),12.0,3.0,0.0,14.0,13.0,2.0,?,?,?,5.0,4.0,5.0,10.0,10.0,?,?,?,4.0,"(0.147, 0.159]",0.147,0.159,"(0.0364, 0.0473]",0.0364,0.0473,"(0.0102, 0.0648]",0.0102,0.0648,"(75.069, 76.399]",75.069,76.399,"(70.481, 75.586]",70.48100000000002,75.586,"(0.0481, 0.0596]",0.0481,0.0596,,,,,,,,,,"(0.857, 0.926]",0.857,0.926,"(1.252, 1.347]",1.252,1.347,"(0.633, 0.7]",0.633,0.7,"(0.26, 0.276]",0.26,0.276,"(0.03, 0.088]",0.03,0.08800000000000001,,,,,,,,,,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
107004 (2000 YC112),7.0,6.0,3.0,5.0,6.0,?,?,?,?,4.0,5.0,4.0,6.0,11.0,?,?,?,4.0,"(0.0858, 0.098]",0.0858,0.098,"(0.0691, 0.08]",0.0691,0.08,"(0.172, 0.226]",0.172,0.226,"(63.096, 64.427]",63.096,64.42699999999999,"(34.746, 39.851]",34.746,39.851,,,,,,,,,,,,,"(0.787, 0.857]",0.787,0.857,"(1.347, 1.441]",1.347,1.4409999999999998,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.196, 0.212]",0.196,0.212,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,GreaterDiomedes,-,-,,
107804 (2001 FV58),11.0,2.0,2.0,10.0,11.0,4.0,?,?,?,4.0,6.0,5.0,12.0,11.0,?,?,?,4.0,"(0.135, 0.147]",0.135,0.147,"(0.0255, 0.0364]",0.0255,0.0364,"(0.119, 0.172]",0.119,0.172,"(69.748, 71.078]",69.748,71.078,"(60.271, 65.376]",60.271,65.376,"(0.0711, 0.0827]",0.0711,0.0827,,,,,,,,,,"(0.787, 0.857]",0.787,0.857,"(1.441, 1.535]",1.4409999999999998,1.535,"(0.633, 0.7]",0.633,0.7,"(0.292, 0.308]",0.292,0.308,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,GreaterDiomedes,Lycomedes,-,,
111785 (2002 CQ186),12.0,2.0,1.0,12.0,12.0,?,?,?,?,4.0,5.0,4.0,2.0,12.0,?,?,?,4.0,"(0.147, 0.159]",0.147,0.159,"(0.0255, 0.0364]",0.0255,0.0364,"(0.0648, 0.119]",0.0648,0.119,"(72.408, 73.739]",72.408,73.73899999999998,"(65.376, 70.481]",65.376,70.48100000000002,,,,,,,,,,,,,"(0.787, 0.857]",0.787,0.857,"(1.347, 1.441]",1.347,1.4409999999999998,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.132, 0.148]",0.132,0.14800000000000002,"(0.146, 0.204]",0.146,0.204,,,,,,,,,,GreaterDiomedes,Lycomedes,AmphiaraosSub,,
111805 (2002 CZ256),8.0,4.0,2.0,6.0,7.0,?,?,?,?,2.0,6.0,3.0,0.0,11.0,?,?,?,4.0,"(0.098, 0.11]",0.098,0.11,"(0.0473, 0.0582]",0.0473,0.0582,"(0.119, 0.172]",0.119,0.172,"(64.427, 65.757]",64.42699999999999,65.757,"(39.851, 44.956]",39.851,44.956,,,,,,,,,,,,,"(0.649, 0.718]",0.649,0.718,"(1.441, 1.535]",1.4409999999999998,1.535,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.0998, 0.116]",0.0998,0.116,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,GreaterDiomedes,Philoctetes,-,,
111819 (2002 DD1),1.0,6.0,8.0,1.0,1.0,1.0,?,?,?,4.0,5.0,4.0,8.0,12.0,?,?,?,4.0,"(0.0128, 0.025]",0.0128,0.025,"(0.0691, 0.08]",0.0691,0.08,"(0.441, 0.495]",0.441,0.495,"(57.775, 59.105]",57.775,59.105,"(9.221, 14.326]",9.221,14.326,"(0.0365, 0.0481]",0.0365,0.0481,,,,,,,,,,"(0.787, 0.857]",0.787,0.857,"(1.347, 1.441]",1.347,1.4409999999999998,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.228, 0.244]",0.228,0.244,"(0.146, 0.204]",0.146,0.204,,,,,,,,,,-,Ulysses,-,,
111932 (2002 GG33),6.0,4.0,2.0,5.0,5.0,?,?,?,?,5.0,6.0,5.0,8.0,12.0,?,?,?,4.0,"(0.0737, 0.0858]",0.0737,0.0858,"(0.0473, 0.0582]",0.0473,0.0582,"(0.119, 0.172]",0.119,0.172,"(63.096, 64.427]",63.096,64.42699999999999,"(29.641, 34.746]",29.641,34.746,,,,,,,,,,,,,"(0.857, 0.926]",0.857,0.926,"(1.441, 1.535]",1.4409999999999998,1.535,"(0.633, 0.7]",0.633,0.7,"(0.228, 0.244]",0.228,0.244,"(0.146, 0.204]",0.146,0.204,,,,,,,,,,-,Eurybates,AniusSub,,
114710 (2003 GX7),6.0,2.0,8.0,3.0,6.0,?,?,?,?,4.0,5.0,4.0,11.0,13.0,?,?,?,4.0,"(0.0737, 0.0858]",0.0737,0.0858,"(0.0255, 0.0364]",0.0255,0.0364,"(0.441, 0.495]",0.441,0.495,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(34.746, 39.851]",34.746,39.851,,,,,,,,,,,,,"(0.787, 0.857]",0.787,0.857,"(1.347, 1.441]",1.347,1.4409999999999998,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.276, 0.292]",0.276,0.292,"(0.204, 0.262]",0.204,0.262,,,,,,,,,,-,Agamemnon,-,,
116954 (2004 HS1),2.0,10.0,2.0,4.0,2.0,2.0,?,?,?,3.0,5.0,3.0,6.0,12.0,?,?,?,4.0,"(0.025, 0.0371]",0.025,0.0371,"(0.113, 0.124]",0.113,0.124,"(0.119, 0.172]",0.119,0.172,"(61.766, 63.096]",61.76600000000001,63.096,"(14.326, 19.431]",14.326,19.431,"(0.0481, 0.0596]",0.0481,0.0596,,,,,,,,,,"(0.718, 0.787]",0.718,0.787,"(1.347, 1.441]",1.347,1.4409999999999998,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.196, 0.212]",0.196,0.212,"(0.146, 0.204]",0.146,0.204,,,,,,,,,,GreaterAchilles,Achilles,-,,
128383 (2004 JW52),4.0,6.0,3.0,4.0,4.0,?,?,?,?,14.0,7.0,14.0,5.0,0.0,?,?,?,4.0,"(0.0493, 0.0615]",0.0493,0.0615,"(0.0691, 0.08]",0.0691,0.08,"(0.172, 0.226]",0.172,0.226,"(61.766, 63.096]",61.76600000000001,63.096,"(24.536, 29.641]",24.536,29.641,,,,,,,,,,,,,"(1.481, 1.55]",1.481,1.55,"(1.535, 1.63]",1.535,1.63,"(1.233, 1.3]",1.233,1.3,"(0.18, 0.196]",0.18,0.196,"(-0.551, -0.492]",-0.551,-0.4920000000000001,,,,,,,,,,GreaterOdysseus,-,-,,
129602 (1997 WA12),7.0,5.0,5.0,5.0,6.0,7.0,?,?,?,3.0,7.0,3.0,10.0,11.0,?,?,?,4.0,"(0.0858, 0.098]",0.0858,0.098,"(0.0582, 0.0691]",0.0582,0.0691,"(0.28, 0.334]",0.28,0.334,"(63.096, 64.427]",63.096,64.42699999999999,"(34.746, 39.851]",34.746,39.851,"(0.106, 0.117]",0.106,0.117,,,,,,,,,,"(0.718, 0.787]",0.718,0.787,"(1.535, 1.63]",1.535,1.63,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.26, 0.276]",0.26,0.276,"(0.088, 0.146]",0.08800000000000001,0.146,,,,,,,,,,GreaterHektor,Hektor,-,,
130190 (2000 AG90),6.0,3.0,4.0,5.0,6.0,7.0,?,?,?,3.0,7.0,4.0,11.0,14.0,6.0,3.0,?,4.0,"(0.0737, 0.0858]",0.0737,0.0858,"(0.0364, 0.0473]",0.0364,0.0473,"(0.226, 0.28]",0.226,0.28,"(63.096, 64.427]",63.096,64.42699999999999,"(34.746, 39.851]",34.746,39.851,"(0.106, 0.117]",0.106,0.117,,,,,,,,,,"(0.718, 0.787]",0.718,0.787,"(1.535, 1.63]",1.535,1.63,"(0.567, 0.633]",0.5670000000000001,0.633,"(0.276, 0.292]",0.276,0.292,"(0.262, 0.32]",0.262,0.32,"(0.287, 0.331]",0.287,0.331,"(0.487, 0.602]",0.487,0.602,,,,-,-,-,,
135547 (2002 EN14),4.0,4.0,6.0,3.0,4.0,3.0,?,?,?,5.0,4.0,5.0,10.0,12.0,?,?,?,4.0,"(0.0493, 0.0615]",0.0493,0.0615,"(0.0473, 0.0582]",0.0473,0.0582,"(0.334, 0.387]",0.334,0.387,"(60.436, 61.766]",60.43600000000001,61.76600000000001,"(24.536, 29.641]",24.536,29.641,"(0.0596, 0.0711]",0.0596,0.0711,,,,,,,,,,"(0.857, 0.926]",0.857,0.926,"(1.252, 1.347]",1.252,1.347,"(0.633, 0.7]",0.633,0.7,"(0.26, 0.276]",0.26,0.276,"(0.146, 0.204]",0.146,0.204,,,,,,,,,,-,-,-,,
136557 Neleus (5214 T-2),4.0,1.0,3.0,4.0,4.0,?,?,?,?,3.0,5.0,3.0,7.0,12.0,?,?,?,4.0,"(0.0493, 0.0615]",0.0493,0.0615,"(0.0146, 0.0255]",0.0146,0.0255,"(0.172, 0.226]",0.172,0.226,"(61.766, 63.096]",61.76600000000001,63.096,"(24.536, 29.641]",24.536,29.641,,,,,,,,,,,,,"(0.718, 0.787]",0.718,0.787,"(1.347, 1.441]",1.347,1.4409999999999998,"(0.5, 0.567]",0.5,0.5670000000000001,"(0.212, 0.228]",0.212,0.228,"(0.146, 0.204]",0.146,0.204,,,,,,,,,,GreaterTelamon,-,-,,
137879 (2000 AJ114),6.0,3.0,4.0,4.0,5.0,3.0,?,?,?,5.0,7.0,5.0,6.0,12.0,?,?,?,4.0,"(0.0737, 0.0858]",0.0737,0.0858,"(0.0364, 0.0473]",0.0364,0.0473,"(0.226, 0.28]",0.226,0.28,"(61.766, 63.096]",61.76600000000001,63.096,"(29.641, 34.746]",29.641,34.746,"(0.0596, 0.0711]",0.0596,0.0711,,,,,,,,,,"(0.857, 0.926]",0.857,0.926,"(1.535, 1.63]",1.535,1.63,"(0.633, 0.7]",0.633,0.7,"(0.196, 0.212]",0.196,0.212,"(0.146, 0.204]",0.146,0.204,,,,,,,,,,GreaterAjax,-,EurybatesSub,,
